"Гомбей-птицелов",""
"Гора самоцветов","1984"
"Гора смешливая, справедливая","1957"
"Горбоконик","1984"
"Гордячка",""
"Гордячка","1997"
"Горе","1992"
"Горе-волшебник","2011"
"Горицвет","1968"
"Город Желтых Труб","1968"
"Город Золотого Петушка. Сказки","1988"
"Город Королей (Художник Е. Зенич)","1988"
"Город малышей (сборник)","2004"
"Город мастеров. Пьесы сказки","1958"
"Город серых птиц","1971"
"Город собак","2010"
"Город фей","1989"
"Город, которого нет","2018"
"Городок в табакерке","1975"
"Городок в табакерке (сборник)","2014"
"Городок на бугре","1977"
"Городок Шантеклер",""
"Горошки и граф Трюфель","1965"
"Горшеня",""
"Горшеня",""
"Горшок каши",""
"Горшок с жиром",""
"Горы бессмертия",""
"Горькие сказки",""
"Господин Куцехвост и подземное чудовище","2014"
"Господин столетний Шкап","2012"
"Гостi на метлi","1988"
"Гостi на мітлi","1988"
"Гости на метле","1988"
"Грамота","1992"
"Граф Карлштайн","2005"
"Графиня и цветок",""
"Грезы и сновидения","1900"
"Гречиха",""
"Грибуль","1991"
"Гроб с драгоценностями",""
"Гроза на носу",""
"Грозный Чалл","1973"
"Громобой","2003"
"Громовик",""
"ГРУЗИНСКИЕ НАРОДНЫЕ НОВЕЛЛЫ","1974"
"Грузинские народные сказки. Сто сказок.","1971"
"Грустная сказка о короле Медиасе","2007"
"Гудвин, Великий и Ужасный","2001"
"Гусенок третьего сорта","1960"
"Гусёнок-Заплаткин [Приключения гусёнка Заплаткина]","1997"
"Гуси-лебеди","1984"
"Гуси-лебеди","2002"
"Гуси-лебеди","2012"
"Гэвхэту",""
"Да, не, никога","1981"
"Данка и Янка в сказке","1974"
"Дар богини Каннон",""
"Даровете на черния гарван","1981"
"Датуа и Петрикела","1981"
"Два брата",""
"Два брата",""
"Два брата. Иллюстрации Николая Кочергина.","1945"
"Два брати",""
"Два жадных медвежонка","1953"
"Два летающих поросенка",""
"Два мира (СИ)",""
"Два ножа",""
"Два ножа",""
"Два свидетеля",""
